metric,phase_levels,phase_bits,window_ms,target_accuracy,max_simultaneous_carriers
codeword_accuracy,2,1.0,50,0.9,3
codeword_accuracy,2,1.0,50,0.95,3
codeword_accuracy,2,1.0,50,0.98,3
codeword_accuracy,2,1.0,50,0.996,3
codeword_accuracy,2,1.0,100,0.9,6
codeword_accuracy,2,1.0,100,0.95,6
codeword_accuracy,2,1.0,100,0.98,5
codeword_accuracy,2,1.0,100,0.996,3
codeword_accuracy,2,1.0,200,0.9,10
codeword_accuracy,2,1.0,200,0.95,10
codeword_accuracy,2,1.0,200,0.98,10
codeword_accuracy,2,1.0,200,0.996,9
codeword_accuracy,2,1.0,500,0.9,24
codeword_accuracy,2,1.0,500,0.95,24
codeword_accuracy,2,1.0,500,0.98,23
codeword_accuracy,2,1.0,500,0.996,17
codeword_accuracy,2,1.0,1000,0.9,48
codeword_accuracy,2,1.0,1000,0.95,47
codeword_accuracy,2,1.0,1000,0.98,45
codeword_accuracy,2,1.0,1000,0.996,31
codeword_accuracy,2,1.0,2000,0.9,80
codeword_accuracy,2,1.0,2000,0.95,80
codeword_accuracy,2,1.0,2000,0.98,66
codeword_accuracy,2,1.0,2000,0.996,60
codeword_accuracy,4,2.0,50,0.9,2
codeword_accuracy,4,2.0,50,0.95,1
codeword_accuracy,4,2.0,50,0.98,1
codeword_accuracy,4,2.0,50,0.996,0
codeword_accuracy,4,2.0,100,0.9,3
codeword_accuracy,4,2.0,100,0.95,3
codeword_accuracy,4,2.0,100,0.98,3
codeword_accuracy,4,2.0,100,0.996,3
codeword_accuracy,4,2.0,200,0.9,5
codeword_accuracy,4,2.0,200,0.95,5
codeword_accuracy,4,2.0,200,0.98,5
codeword_accuracy,4,2.0,200,0.996,3
codeword_accuracy,4,2.0,500,0.9,12
codeword_accuracy,4,2.0,500,0.95,12
codeword_accuracy,4,2.0,500,0.98,8
codeword_accuracy,4,2.0,500,0.996,7
codeword_accuracy,4,2.0,1000,0.9,24
codeword_accuracy,4,2.0,1000,0.95,23
codeword_accuracy,4,2.0,1000,0.98,23
codeword_accuracy,4,2.0,1000,0.996,15
codeword_accuracy,4,2.0,2000,0.9,46
codeword_accuracy,4,2.0,2000,0.95,33
codeword_accuracy,4,2.0,2000,0.98,30
codeword_accuracy,4,2.0,2000,0.996,28
codeword_accuracy,8,3.0,50,0.9,0
codeword_accuracy,8,3.0,50,0.95,0
codeword_accuracy,8,3.0,50,0.98,0
codeword_accuracy,8,3.0,50,0.996,0
codeword_accuracy,8,3.0,100,0.9,1
codeword_accuracy,8,3.0,100,0.95,0
codeword_accuracy,8,3.0,100,0.98,0
codeword_accuracy,8,3.0,100,0.996,0
codeword_accuracy,8,3.0,200,0.9,3
codeword_accuracy,8,3.0,200,0.95,3
codeword_accuracy,8,3.0,200,0.98,1
codeword_accuracy,8,3.0,200,0.996,0
codeword_accuracy,8,3.0,500,0.9,4
codeword_accuracy,8,3.0,500,0.95,6
codeword_accuracy,8,3.0,500,0.98,4
codeword_accuracy,8,3.0,500,0.996,3
codeword_accuracy,8,3.0,1000,0.9,12
codeword_accuracy,8,3.0,1000,0.95,8
codeword_accuracy,8,3.0,1000,0.98,8
codeword_accuracy,8,3.0,1000,0.996,8
codeword_accuracy,8,3.0,2000,0.9,22
codeword_accuracy,8,3.0,2000,0.95,22
codeword_accuracy,8,3.0,2000,0.98,16
codeword_accuracy,8,3.0,2000,0.996,15
codeword_accuracy,16,4.0,50,0.9,0
codeword_accuracy,16,4.0,50,0.95,0
codeword_accuracy,16,4.0,50,0.98,0
codeword_accuracy,16,4.0,50,0.996,0
codeword_accuracy,16,4.0,100,0.9,0
codeword_accuracy,16,4.0,100,0.95,0
codeword_accuracy,16,4.0,100,0.98,0
codeword_accuracy,16,4.0,100,0.996,0
codeword_accuracy,16,4.0,200,0.9,0
codeword_accuracy,16,4.0,200,0.95,0
codeword_accuracy,16,4.0,200,0.98,0
codeword_accuracy,16,4.0,200,0.996,0
codeword_accuracy,16,4.0,500,0.9,1
codeword_accuracy,16,4.0,500,0.95,0
codeword_accuracy,16,4.0,500,0.98,0
codeword_accuracy,16,4.0,500,0.996,0
codeword_accuracy,16,4.0,1000,0.9,6
codeword_accuracy,16,4.0,1000,0.95,4
codeword_accuracy,16,4.0,1000,0.98,3
codeword_accuracy,16,4.0,1000,0.996,1
codeword_accuracy,16,4.0,2000,0.9,9
codeword_accuracy,16,4.0,2000,0.95,9
codeword_accuracy,16,4.0,2000,0.98,7
codeword_accuracy,16,4.0,2000,0.996,6
codeword_accuracy,32,5.0,50,0.9,0
codeword_accuracy,32,5.0,50,0.95,0
codeword_accuracy,32,5.0,50,0.98,0
codeword_accuracy,32,5.0,50,0.996,0
codeword_accuracy,32,5.0,100,0.9,0
codeword_accuracy,32,5.0,100,0.95,0
codeword_accuracy,32,5.0,100,0.98,0
codeword_accuracy,32,5.0,100,0.996,0
codeword_accuracy,32,5.0,200,0.9,0
codeword_accuracy,32,5.0,200,0.95,0
codeword_accuracy,32,5.0,200,0.98,0
codeword_accuracy,32,5.0,200,0.996,0
codeword_accuracy,32,5.0,500,0.9,0
codeword_accuracy,32,5.0,500,0.95,0
codeword_accuracy,32,5.0,500,0.98,0
codeword_accuracy,32,5.0,500,0.996,0
codeword_accuracy,32,5.0,1000,0.9,0
codeword_accuracy,32,5.0,1000,0.95,0
codeword_accuracy,32,5.0,1000,0.98,0
codeword_accuracy,32,5.0,1000,0.996,0
codeword_accuracy,32,5.0,2000,0.9,2
codeword_accuracy,32,5.0,2000,0.95,0
codeword_accuracy,32,5.0,2000,0.98,0
codeword_accuracy,32,5.0,2000,0.996,0
codeword_accuracy,64,6.0,50,0.9,0
codeword_accuracy,64,6.0,50,0.95,0
codeword_accuracy,64,6.0,50,0.98,0
codeword_accuracy,64,6.0,50,0.996,0
codeword_accuracy,64,6.0,100,0.9,0
codeword_accuracy,64,6.0,100,0.95,0
codeword_accuracy,64,6.0,100,0.98,0
codeword_accuracy,64,6.0,100,0.996,0
codeword_accuracy,64,6.0,200,0.9,0
codeword_accuracy,64,6.0,200,0.95,0
codeword_accuracy,64,6.0,200,0.98,0
codeword_accuracy,64,6.0,200,0.996,0
codeword_accuracy,64,6.0,500,0.9,0
codeword_accuracy,64,6.0,500,0.95,0
codeword_accuracy,64,6.0,500,0.98,0
codeword_accuracy,64,6.0,500,0.996,0
codeword_accuracy,64,6.0,1000,0.9,0
codeword_accuracy,64,6.0,1000,0.95,0
codeword_accuracy,64,6.0,1000,0.98,0
codeword_accuracy,64,6.0,1000,0.996,0
codeword_accuracy,64,6.0,2000,0.9,0
codeword_accuracy,64,6.0,2000,0.95,0
codeword_accuracy,64,6.0,2000,0.98,0
codeword_accuracy,64,6.0,2000,0.996,0
