k_carriers,window_ms,window_sec,phase_levels,phase_bits,snr_power,snr_db,snr_mode,freq_min_hz,freq_max_hz,freq_spacing_hz,cycles_at_20hz,cycles_at_40hz,fourier_resolution_hz,n_trials,fs_hz,per_carrier_accuracy,codeword_accuracy,target_accuracy
1,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,,1.0,2.0,20.0,100,1000.0,1.0,1.0,0.9
2,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,20.0,1.0,2.0,20.0,100,1000.0,1.0,1.0,0.9
3,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,10.0,1.0,2.0,20.0,100,1000.0,1.0,1.0,0.9
4,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,6.666666666666667,1.0,2.0,20.0,100,1000.0,0.9275,0.77,0.9
5,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,5.0,1.0,2.0,20.0,100,1000.0,0.828,0.43,0.9
6,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,4.0,1.0,2.0,20.0,100,1000.0,0.7733333333333333,0.24,0.9
7,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,3.3333333333333335,1.0,2.0,20.0,100,1000.0,0.76,0.08,0.9
8,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,2.857142857142857,1.0,2.0,20.0,100,1000.0,0.74,0.07,0.9
9,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,2.5,1.0,2.0,20.0,100,1000.0,0.7388888888888889,0.02,0.9
10,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,2.2222222222222223,1.0,2.0,20.0,100,1000.0,0.718,0.04,0.9
11,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,2.0,1.0,2.0,20.0,100,1000.0,0.7072727272727273,0.02,0.9
12,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,1.8181818181818181,1.0,2.0,20.0,100,1000.0,0.695,0.02,0.9
13,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,1.6666666666666667,1.0,2.0,20.0,100,1000.0,0.69,0.0,0.9
14,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,1.5384615384615385,1.0,2.0,20.0,100,1000.0,0.6757142857142857,0.0,0.9
15,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,1.4285714285714286,1.0,2.0,20.0,100,1000.0,0.6793333333333333,0.0,0.9
16,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,1.3333333333333333,1.0,2.0,20.0,100,1000.0,0.6575,0.0,0.9
17,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,1.25,1.0,2.0,20.0,100,1000.0,0.6594117647058824,0.0,0.9
18,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,1.1764705882352942,1.0,2.0,20.0,100,1000.0,0.6577777777777778,0.0,0.9
19,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,1.1111111111111112,1.0,2.0,20.0,100,1000.0,0.6610526315789473,0.0,0.9
20,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,1.0526315789473684,1.0,2.0,20.0,100,1000.0,0.6505,0.0,0.9
21,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,1.0,1.0,2.0,20.0,100,1000.0,0.6395238095238095,0.0,0.9
22,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.9523809523809523,1.0,2.0,20.0,100,1000.0,0.6318181818181818,0.0,0.9
23,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.9090909090909091,1.0,2.0,20.0,100,1000.0,0.6426086956521739,0.0,0.9
24,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.8695652173913043,1.0,2.0,20.0,100,1000.0,0.6366666666666667,0.0,0.9
25,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.8333333333333334,1.0,2.0,20.0,100,1000.0,0.6432,0.0,0.9
26,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.8,1.0,2.0,20.0,100,1000.0,0.6261538461538462,0.0,0.9
27,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.7692307692307693,1.0,2.0,20.0,100,1000.0,0.6133333333333333,0.0,0.9
28,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.7407407407407407,1.0,2.0,20.0,100,1000.0,0.6157142857142858,0.0,0.9
29,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.7142857142857143,1.0,2.0,20.0,100,1000.0,0.6155172413793103,0.0,0.9
30,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.6896551724137931,1.0,2.0,20.0,100,1000.0,0.615,0.0,0.9
31,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.6666666666666666,1.0,2.0,20.0,100,1000.0,0.6248387096774194,0.0,0.9
32,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.6451612903225806,1.0,2.0,20.0,100,1000.0,0.6215625,0.0,0.9
33,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.625,1.0,2.0,20.0,100,1000.0,0.613030303030303,0.0,0.9
34,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.6060606060606061,1.0,2.0,20.0,100,1000.0,0.6114705882352941,0.0,0.9
