noise_spectrum,window_sec,window_ms,snr_power,max_k
white,0.1,100,0.003,0
white,0.1,100,0.005,0
white,0.1,100,0.01,0
white,0.1,100,0.02,0
white,0.1,100,0.03,0
white,0.1,100,0.05,0
white,0.1,100,0.1,0
white,0.1,100,0.2,3
white,0.1,100,0.5,3
white,0.1,100,1.0,3
white,0.1,100,2.0,3
white,0.2,200,0.003,0
white,0.2,200,0.005,0
white,0.2,200,0.01,0
white,0.2,200,0.02,0
white,0.2,200,0.03,0
white,0.2,200,0.05,0
white,0.2,200,0.1,3
white,0.2,200,0.2,5
white,0.2,200,0.5,5
white,0.2,200,1.0,5
white,0.2,200,2.0,5
white,0.3,300,0.003,0
white,0.3,300,0.005,0
white,0.3,300,0.01,0
white,0.3,300,0.02,0
white,0.3,300,0.03,0
white,0.3,300,0.05,0
white,0.3,300,0.1,4
white,0.3,300,0.2,7
white,0.3,300,0.5,8
white,0.3,300,1.0,8
white,0.3,300,2.0,8
white,0.4,400,0.003,0
white,0.4,400,0.005,0
white,0.4,400,0.01,0
white,0.4,400,0.02,0
white,0.4,400,0.03,0
white,0.4,400,0.05,5
white,0.4,400,0.1,6
white,0.4,400,0.2,10
white,0.4,400,0.5,10
white,0.4,400,1.0,10
white,0.4,400,2.0,10
white,0.5,500,0.003,0
white,0.5,500,0.005,0
white,0.5,500,0.01,0
white,0.5,500,0.02,0
white,0.5,500,0.03,0
white,0.5,500,0.05,6
white,0.5,500,0.1,8
white,0.5,500,0.2,12
white,0.5,500,0.5,12
white,0.5,500,1.0,12
white,0.5,500,2.0,12
pink,0.1,100,0.003,0
pink,0.1,100,0.005,0
pink,0.1,100,0.01,0
pink,0.1,100,0.02,0
pink,0.1,100,0.03,0
pink,0.1,100,0.05,0
pink,0.1,100,0.1,0
pink,0.1,100,0.2,3
pink,0.1,100,0.5,3
pink,0.1,100,1.0,3
pink,0.1,100,2.0,3
pink,0.2,200,0.003,0
pink,0.2,200,0.005,0
pink,0.2,200,0.01,0
pink,0.2,200,0.02,0
pink,0.2,200,0.03,0
pink,0.2,200,0.05,0
pink,0.2,200,0.1,3
pink,0.2,200,0.2,3
pink,0.2,200,0.5,5
pink,0.2,200,1.0,5
pink,0.2,200,2.0,5
pink,0.3,300,0.003,0
pink,0.3,300,0.005,0
pink,0.3,300,0.01,0
pink,0.3,300,0.02,0
pink,0.3,300,0.03,0
pink,0.3,300,0.05,0
pink,0.3,300,0.1,4
pink,0.3,300,0.2,7
pink,0.3,300,0.5,8
pink,0.3,300,1.0,8
pink,0.3,300,2.0,8
pink,0.4,400,0.003,0
pink,0.4,400,0.005,0
pink,0.4,400,0.01,0
pink,0.4,400,0.02,0
pink,0.4,400,0.03,0
pink,0.4,400,0.05,3
pink,0.4,400,0.1,6
pink,0.4,400,0.2,10
pink,0.4,400,0.5,10
pink,0.4,400,1.0,10
pink,0.4,400,2.0,10
pink,0.5,500,0.003,0
pink,0.5,500,0.005,0
pink,0.5,500,0.01,0
pink,0.5,500,0.02,0
pink,0.5,500,0.03,1
pink,0.5,500,0.05,6
pink,0.5,500,0.1,8
pink,0.5,500,0.2,12
pink,0.5,500,0.5,12
pink,0.5,500,1.0,12
pink,0.5,500,2.0,12
