k_carriers,window_ms,window_sec,phase_levels,phase_bits,snr_power,snr_db,snr_mode,noise_spectrum,f_ref_hz,freq_min_hz,freq_max_hz,freq_spacing_hz,cycles_at_20hz,cycles_at_40hz,fourier_resolution_hz,n_trials,fs_hz,per_carrier_accuracy,codeword_accuracy
1,100,0.1,4,2.0,0.003,-25.228787452803374,per_carrier_power,white,28.284271247461902,20.0,40.0,,2.0,4.0,10.0,2500,1000.0,0.4216,0.4216
2,100,0.1,4,2.0,0.003,-25.228787452803374,per_carrier_power,white,28.284271247461902,20.0,40.0,20.0,2.0,4.0,10.0,2500,1000.0,0.4178,0.1716
3,100,0.1,4,2.0,0.003,-25.228787452803374,per_carrier_power,white,28.284271247461902,20.0,40.0,10.0,2.0,4.0,10.0,2500,1000.0,0.4222666666666667,0.0772
4,100,0.1,4,2.0,0.003,-25.228787452803374,per_carrier_power,white,28.284271247461902,20.0,40.0,6.666666666666667,2.0,4.0,10.0,2500,1000.0,0.4247,0.032
5,100,0.1,4,2.0,0.003,-25.228787452803374,per_carrier_power,white,28.284271247461902,20.0,40.0,5.0,2.0,4.0,10.0,2500,1000.0,0.42248,0.0096
6,100,0.1,4,2.0,0.003,-25.228787452803374,per_carrier_power,white,28.284271247461902,20.0,40.0,4.0,2.0,4.0,10.0,2500,1000.0,0.40473333333333333,0.0024
7,100,0.1,4,2.0,0.003,-25.228787452803374,per_carrier_power,white,28.284271247461902,20.0,40.0,3.3333333333333335,2.0,4.0,10.0,2500,1000.0,0.4094857142857143,0.0012
8,100,0.1,4,2.0,0.003,-25.228787452803374,per_carrier_power,white,28.284271247461902,20.0,40.0,2.857142857142857,2.0,4.0,10.0,2500,1000.0,0.3989,0.0
9,100,0.1,4,2.0,0.003,-25.228787452803374,per_carrier_power,white,28.284271247461902,20.0,40.0,2.5,2.0,4.0,10.0,2500,1000.0,0.3988888888888889,0.0
10,100,0.1,4,2.0,0.003,-25.228787452803374,per_carrier_power,white,28.284271247461902,20.0,40.0,2.2222222222222223,2.0,4.0,10.0,2500,1000.0,0.3922,0.0
11,100,0.1,4,2.0,0.003,-25.228787452803374,per_carrier_power,white,28.284271247461902,20.0,40.0,2.0,2.0,4.0,10.0,2500,1000.0,0.3902909090909091,0.0
12,100,0.1,4,2.0,0.003,-25.228787452803374,per_carrier_power,white,28.284271247461902,20.0,40.0,1.8181818181818181,2.0,4.0,10.0,2500,1000.0,0.39153333333333334,0.0
13,100,0.1,4,2.0,0.003,-25.228787452803374,per_carrier_power,white,28.284271247461902,20.0,40.0,1.6666666666666667,2.0,4.0,10.0,2500,1000.0,0.38553846153846155,0.0
14,100,0.1,4,2.0,0.003,-25.228787452803374,per_carrier_power,white,28.284271247461902,20.0,40.0,1.5384615384615385,2.0,4.0,10.0,2500,1000.0,0.3838285714285714,0.0
15,100,0.1,4,2.0,0.003,-25.228787452803374,per_carrier_power,white,28.284271247461902,20.0,40.0,1.4285714285714286,2.0,4.0,10.0,2500,1000.0,0.37650666666666666,0.0
16,100,0.1,4,2.0,0.003,-25.228787452803374,per_carrier_power,white,28.284271247461902,20.0,40.0,1.3333333333333333,2.0,4.0,10.0,2500,1000.0,0.376025,0.0
17,100,0.1,4,2.0,0.003,-25.228787452803374,per_carrier_power,white,28.284271247461902,20.0,40.0,1.25,2.0,4.0,10.0,2500,1000.0,0.3744705882352941,0.0
