metric,phase_levels,phase_bits,window_ms,target_accuracy,max_simultaneous_carriers
per_carrier_accuracy,2,1.0,50,0.9,4
per_carrier_accuracy,2,1.0,50,0.95,3
per_carrier_accuracy,2,1.0,50,0.98,3
per_carrier_accuracy,2,1.0,50,0.996,3
per_carrier_accuracy,2,1.0,100,0.9,7
per_carrier_accuracy,2,1.0,100,0.95,6
per_carrier_accuracy,2,1.0,100,0.98,6
per_carrier_accuracy,2,1.0,100,0.996,5
per_carrier_accuracy,2,1.0,200,0.9,13
per_carrier_accuracy,2,1.0,200,0.95,11
per_carrier_accuracy,2,1.0,200,0.98,11
per_carrier_accuracy,2,1.0,200,0.996,10
per_carrier_accuracy,2,1.0,500,0.9,33
per_carrier_accuracy,2,1.0,500,0.95,29
per_carrier_accuracy,2,1.0,500,0.98,26
per_carrier_accuracy,2,1.0,500,0.996,24
per_carrier_accuracy,2,1.0,1000,0.9,64
per_carrier_accuracy,2,1.0,1000,0.95,55
per_carrier_accuracy,2,1.0,1000,0.98,51
per_carrier_accuracy,2,1.0,1000,0.996,47
per_carrier_accuracy,2,1.0,2000,0.9,80
per_carrier_accuracy,2,1.0,2000,0.95,80
per_carrier_accuracy,2,1.0,2000,0.98,80
per_carrier_accuracy,2,1.0,2000,0.996,80
per_carrier_accuracy,4,2.0,50,0.9,2
per_carrier_accuracy,4,2.0,50,0.95,2
per_carrier_accuracy,4,2.0,50,0.98,1
per_carrier_accuracy,4,2.0,50,0.996,0
per_carrier_accuracy,4,2.0,100,0.9,3
per_carrier_accuracy,4,2.0,100,0.95,3
per_carrier_accuracy,4,2.0,100,0.98,3
per_carrier_accuracy,4,2.0,100,0.996,3
per_carrier_accuracy,4,2.0,200,0.9,6
per_carrier_accuracy,4,2.0,200,0.95,6
per_carrier_accuracy,4,2.0,200,0.98,5
per_carrier_accuracy,4,2.0,200,0.996,5
per_carrier_accuracy,4,2.0,500,0.9,15
per_carrier_accuracy,4,2.0,500,0.95,13
per_carrier_accuracy,4,2.0,500,0.98,13
per_carrier_accuracy,4,2.0,500,0.996,12
per_carrier_accuracy,4,2.0,1000,0.9,28
per_carrier_accuracy,4,2.0,1000,0.95,26
per_carrier_accuracy,4,2.0,1000,0.98,25
per_carrier_accuracy,4,2.0,1000,0.996,23
per_carrier_accuracy,4,2.0,2000,0.9,55
per_carrier_accuracy,4,2.0,2000,0.95,52
per_carrier_accuracy,4,2.0,2000,0.98,49
per_carrier_accuracy,4,2.0,2000,0.996,46
per_carrier_accuracy,8,3.0,50,0.9,0
per_carrier_accuracy,8,3.0,50,0.95,0
per_carrier_accuracy,8,3.0,50,0.98,0
per_carrier_accuracy,8,3.0,50,0.996,0
per_carrier_accuracy,8,3.0,100,0.9,3
